RC-5 Data Logger,,
User Information,RC-5 Data Logger,
Number,E189G04160,
Interval    ,0:15:0 H:M:S,
Delay Time,0.0 H,
Data Sum,29967,
Temperature Maximum,51.8°C,
Temperature Minimum,1.4°C,
Temperature Average,23.1°C,
Temperature Alarm Upper Limit,60.0°C,
Temperature Alarm Lower Limit,-30.0°C,
Start Time,2019-05-09 12:33:55,
End Time,2020-03-16 16:03:55,
Date Format,yyyy-MM-dd HH:mm:ss,
Temperature Unit,°C,
Number,Time,Temperature°C
3870,2019-06-18 19:48:55,11.8
3871,2019-06-18 20:03:55,11.8
3872,2019-06-18 20:18:55,11.7
3873,2019-06-18 20:33:55,11.7
3874,2019-06-18 20:48:55,11.7
3875,2019-06-18 21:03:55,11.8
3876,2019-06-18 21:18:55,11.7
3877,2019-06-18 21:33:55,11.7
3878,2019-06-18 21:48:55,11.9
3879,2019-06-18 22:03:55,11.8
3880,2019-06-18 22:18:55,11.8
3881,2019-06-18 22:33:55,11.8
3882,2019-06-18 22:48:55,12
3883,2019-06-18 23:03:55,12.1
3884,2019-06-18 23:18:55,12.3
3885,2019-06-18 23:33:55,12.3
3886,2019-06-18 23:48:55,12.4
3887,2019-06-19 00:03:55,12.6
3888,2019-06-19 00:18:55,12.5
3889,2019-06-19 00:33:55,12.2
3890,2019-06-19 00:48:55,12
3891,2019-06-19 01:03:55,11.8
3892,2019-06-19 01:18:55,11.6
3893,2019-06-19 01:33:55,11.9
3894,2019-06-19 01:48:55,11.8
3895,2019-06-19 02:03:55,11.6
3896,2019-06-19 02:18:55,11.6
3897,2019-06-19 02:33:55,11.7
3898,2019-06-19 02:48:55,11.8
3899,2019-06-19 03:03:55,11.9
3900,2019-06-19 03:18:55,11.8
3901,2019-06-19 03:33:55,11.9
3902,2019-06-19 03:48:55,12
3903,2019-06-19 04:03:55,12
3904,2019-06-19 04:18:55,12.2
3905,2019-06-19 04:33:55,12.2
3906,2019-06-19 04:48:55,12.1
3907,2019-06-19 05:03:55,12
3908,2019-06-19 05:18:55,12
3909,2019-06-19 05:33:55,12
3910,2019-06-19 05:48:55,12
3911,2019-06-19 06:03:55,12
3912,2019-06-19 06:18:55,11.8
3913,2019-06-19 06:33:55,11.7
3914,2019-06-19 06:48:55,11.6
3915,2019-06-19 07:03:55,11.5
3916,2019-06-19 07:18:55,11.4
3917,2019-06-19 07:33:55,11.2
3918,2019-06-19 07:48:55,11.1
3919,2019-06-19 08:03:55,11
3920,2019-06-19 08:18:55,11.2
3921,2019-06-19 08:33:55,11.8
3922,2019-06-19 08:48:55,12.2
3923,2019-06-19 09:03:55,12.7
3924,2019-06-19 09:18:55,13.1
3925,2019-06-19 09:33:55,13.5
3926,2019-06-19 09:48:55,14
3927,2019-06-19 10:03:55,14.6
3928,2019-06-19 10:18:55,15
3929,2019-06-19 10:33:55,15.4
3930,2019-06-19 10:48:55,15.9
3931,2019-06-19 11:03:55,16
3932,2019-06-19 11:18:55,16.5
3933,2019-06-19 11:33:55,17
3934,2019-06-19 11:48:55,17.5
3935,2019-06-19 12:03:55,17.2
3936,2019-06-19 12:18:55,17.7
3937,2019-06-19 12:33:55,18
3938,2019-06-19 12:48:55,18.2
3939,2019-06-19 13:03:55,18.3
3940,2019-06-19 13:18:55,18.2
3941,2019-06-19 13:33:55,18.7
3942,2019-06-19 13:48:55,18.5
3943,2019-06-19 14:03:55,18.5
3944,2019-06-19 14:18:55,18.3
3945,2019-06-19 14:33:55,18.5
3946,2019-06-19 14:48:55,18.6
3947,2019-06-19 15:03:55,18.6
3948,2019-06-19 15:18:55,18.8
3949,2019-06-19 15:33:55,19
3950,2019-06-19 15:48:55,18.9
3951,2019-06-19 16:03:55,18.6
3952,2019-06-19 16:18:55,18.1
3953,2019-06-19 16:33:55,18.2
3954,2019-06-19 16:48:55,17.7
3955,2019-06-19 17:03:55,17.4
3956,2019-06-19 17:18:55,16.7
3957,2019-06-19 17:33:55,16
3958,2019-06-19 17:48:55,15.2
3959,2019-06-19 18:03:55,14.6
3960,2019-06-19 18:18:55,14.2
3961,2019-06-19 18:33:55,14
3962,2019-06-19 18:48:55,13.6
3963,2019-06-19 19:03:55,13.4
3964,2019-06-19 19:18:55,13.1
3965,2019-06-19 19:33:55,12.9
3966,2019-06-19 19:48:55,12.6
3967,2019-06-19 20:03:55,12.3
3968,2019-06-19 20:18:55,12.1
3969,2019-06-19 20:33:55,11.9
3970,2019-06-19 20:48:55,11.8
3971,2019-06-19 21:03:55,11.8
3972,2019-06-19 21:18:55,11.6
3973,2019-06-19 21:33:55,11.4
3974,2019-06-19 21:48:55,11.2
3975,2019-06-19 22:03:55,11
3976,2019-06-19 22:18:55,10.8
3977,2019-06-19 22:33:55,10.7
3978,2019-06-19 22:48:55,10.6
3979,2019-06-19 23:03:55,10.4
3980,2019-06-19 23:18:55,10.4
3981,2019-06-19 23:33:55,10.2
3982,2019-06-19 23:48:55,10.2
3983,2019-06-20 00:03:55,10.1
3984,2019-06-20 00:18:55,10
3985,2019-06-20 00:33:55,9.8
3986,2019-06-20 00:48:55,9.7
3987,2019-06-20 01:03:55,9.6
3988,2019-06-20 01:18:55,9.5
3989,2019-06-20 01:33:55,9.4
3990,2019-06-20 01:48:55,9.2
3991,2019-06-20 02:03:55,8.9
3992,2019-06-20 02:18:55,8.7
3993,2019-06-20 02:33:55,8.5
3994,2019-06-20 02:48:55,8.4
3995,2019-06-20 03:03:55,8.2
3996,2019-06-20 03:18:55,8
3997,2019-06-20 03:33:55,7.8
3998,2019-06-20 03:48:55,7.5
3999,2019-06-20 04:03:55,7.4
4000,2019-06-20 04:18:55,7.3
4001,2019-06-20 04:33:55,7.4
4002,2019-06-20 04:48:55,7.3
4003,2019-06-20 05:03:55,7.2
4004,2019-06-20 05:18:55,6.9
4005,2019-06-20 05:33:55,6.9
4006,2019-06-20 05:48:55,6.8
4007,2019-06-20 06:03:55,6.5
4008,2019-06-20 06:18:55,6.3
4009,2019-06-20 06:33:55,6
4010,2019-06-20 06:48:55,5.9
4011,2019-06-20 07:03:55,5.7
4012,2019-06-20 07:18:55,5.6
4013,2019-06-20 07:33:55,5.6
4014,2019-06-20 07:48:55,5.6
4015,2019-06-20 08:03:55,5.6
4016,2019-06-20 08:18:55,6
4017,2019-06-20 08:33:55,6.9
4018,2019-06-20 08:48:55,8.2
4019,2019-06-20 09:03:55,10
4020,2019-06-20 09:18:55,11.8
4021,2019-06-20 09:33:55,13.5
4022,2019-06-20 09:48:55,15
4023,2019-06-20 10:03:55,16.6
4024,2019-06-20 10:18:55,18
4025,2019-06-20 10:33:55,19
4026,2019-06-20 10:48:55,19.4
4027,2019-06-20 11:03:55,19.8
4028,2019-06-20 11:18:55,19.8
4029,2019-06-20 11:33:55,19.7
4030,2019-06-20 11:48:55,20
4031,2019-06-20 12:03:55,23.1
4032,2019-06-20 12:18:55,26.2
4033,2019-06-20 12:33:55,27.1
4034,2019-06-20 12:48:55,27
4035,2019-06-20 13:03:55,27.1
4036,2019-06-20 13:18:55,27.2
4037,2019-06-20 13:33:55,27
4038,2019-06-20 13:48:55,26.7
4039,2019-06-20 14:03:55,26.7
4040,2019-06-20 14:18:55,27
4041,2019-06-20 14:33:55,27.7
4042,2019-06-20 14:48:55,27.1
4043,2019-06-20 15:03:55,26.8
4044,2019-06-20 15:18:55,26
4045,2019-06-20 15:33:55,25.5
4046,2019-06-20 15:48:55,25.3
4047,2019-06-20 16:03:55,25.2
4048,2019-06-20 16:18:55,25.3
4049,2019-06-20 16:33:55,25.4
4050,2019-06-20 16:48:55,25.3
4051,2019-06-20 17:03:55,25.2
4052,2019-06-20 17:18:55,25.1
4053,2019-06-20 17:33:55,24.6
4054,2019-06-20 17:48:55,24.3
4055,2019-06-20 18:03:55,24
4056,2019-06-20 18:18:55,23.8
4057,2019-06-20 18:33:55,23.8
4058,2019-06-20 18:48:55,23.6
4059,2019-06-20 19:03:55,23.4
4060,2019-06-20 19:18:55,23.3
4061,2019-06-20 19:33:55,23.2
4062,2019-06-20 19:48:55,23
4063,2019-06-20 20:03:55,22.8
4064,2019-06-20 20:18:55,22.7
4065,2019-06-20 20:33:55,22.6
4066,2019-06-20 20:48:55,22.5
4067,2019-06-20 21:03:55,22.3
4068,2019-06-20 21:18:55,22.2
4069,2019-06-20 21:33:55,22.2
4070,2019-06-20 21:48:55,22.2
4071,2019-06-20 22:03:55,22.3
4072,2019-06-20 22:18:55,22.4
4073,2019-06-20 22:33:55,22.6
4074,2019-06-20 22:48:55,22.4
4075,2019-06-20 23:03:55,22.4
4076,2019-06-20 23:18:55,22.4
4077,2019-06-20 23:33:55,22.6
4078,2019-06-20 23:48:55,22.6
4079,2019-06-21 00:03:55,22.4
4080,2019-06-21 00:18:55,22.4
4081,2019-06-21 00:33:55,22.2
4082,2019-06-21 00:48:55,22.3
4083,2019-06-21 01:03:55,22.2
4084,2019-06-21 01:18:55,22.2
4085,2019-06-21 01:33:55,22.2
4086,2019-06-21 01:48:55,22
4087,2019-06-21 02:03:55,21.8
4088,2019-06-21 02:18:55,21.6
4089,2019-06-21 02:33:55,21.7
4090,2019-06-21 02:48:55,21.6
4091,2019-06-21 03:03:55,21.5
4092,2019-06-21 03:18:55,21.3
4093,2019-06-21 03:33:55,21.1
4094,2019-06-21 03:48:55,21.2
4095,2019-06-21 04:03:55,21.1
4096,2019-06-21 04:18:55,21
4097,2019-06-21 04:33:55,20.9
4098,2019-06-21 04:48:55,20.9
4099,2019-06-21 05:03:55,21
4100,2019-06-21 05:18:55,21
4101,2019-06-21 05:33:55,21
4102,2019-06-21 05:48:55,20.9
4103,2019-06-21 06:03:55,20.9
4104,2019-06-21 06:18:55,21
4105,2019-06-21 06:33:55,21.1
4106,2019-06-21 06:48:55,21
4107,2019-06-21 07:03:55,21.2
4108,2019-06-21 07:18:55,21.2
4109,2019-06-21 07:33:55,21.4
4110,2019-06-21 07:48:55,21.4
4111,2019-06-21 08:03:55,21.4
4112,2019-06-21 08:18:55,21.5
4113,2019-06-21 08:33:55,21.7
4114,2019-06-21 08:48:55,21.8
4115,2019-06-21 09:03:55,22.1
4116,2019-06-21 09:18:55,22.4
4117,2019-06-21 09:33:55,22.7
4118,2019-06-21 09:48:55,22.9
4119,2019-06-21 10:03:55,23.4
4120,2019-06-21 10:18:55,23.7
4121,2019-06-21 10:33:55,23.8
4122,2019-06-21 10:48:55,24
4123,2019-06-21 11:03:55,24.8
4124,2019-06-21 11:18:55,25
4125,2019-06-21 11:33:55,25.1
4126,2019-06-21 11:48:55,24.9
4127,2019-06-21 12:03:55,22.9
4128,2019-06-21 12:18:55,19.1
4129,2019-06-21 12:33:55,17.4
4130,2019-06-21 12:48:55,16.7
4131,2019-06-21 13:03:55,16.5
4132,2019-06-21 13:18:55,16.3
4133,2019-06-21 13:33:55,16.1
4134,2019-06-21 13:48:55,16.1
4135,2019-06-21 14:03:55,16
4136,2019-06-21 14:18:55,16
4137,2019-06-21 14:33:55,16.2
4138,2019-06-21 14:48:55,16.4
4139,2019-06-21 15:03:55,16.2
4140,2019-06-21 15:18:55,16.1
4141,2019-06-21 15:33:55,16.2
4142,2019-06-21 15:48:55,16.4
4143,2019-06-21 16:03:55,16.2
4144,2019-06-21 16:18:55,16.2
4145,2019-06-21 16:33:55,16.2
4146,2019-06-21 16:48:55,16.2
4147,2019-06-21 17:03:55,16
4148,2019-06-21 17:18:55,16
4149,2019-06-21 17:33:55,15.9
4150,2019-06-21 17:48:55,15.8
4151,2019-06-21 18:03:55,15.7
4152,2019-06-21 18:18:55,15.7
4153,2019-06-21 18:33:55,15.7
4154,2019-06-21 18:48:55,15.6
4155,2019-06-21 19:03:55,15.5
4156,2019-06-21 19:18:55,15.5
4157,2019-06-21 19:33:55,15.5
4158,2019-06-21 19:48:55,15.5
4159,2019-06-21 20:03:55,15.5
4160,2019-06-21 20:18:55,15.6
4161,2019-06-21 20:33:55,15.7
4162,2019-06-21 20:48:55,15.8
4163,2019-06-21 21:03:55,15.9
4164,2019-06-21 21:18:55,16
4165,2019-06-21 21:33:55,16
4166,2019-06-21 21:48:55,16
4167,2019-06-21 22:03:55,16
4168,2019-06-21 22:18:55,15.9
4169,2019-06-21 22:33:55,15.9
4170,2019-06-21 22:48:55,15.8
4171,2019-06-21 23:03:55,15.8
4172,2019-06-21 23:18:55,15.9
4173,2019-06-21 23:33:55,15.9
4174,2019-06-21 23:48:55,16
4175,2019-06-22 00:03:55,16
4176,2019-06-22 00:18:55,16
4177,2019-06-22 00:33:55,15.9
4178,2019-06-22 00:48:55,15.9
4179,2019-06-22 01:03:55,15.9
4180,2019-06-22 01:18:55,15.8
4181,2019-06-22 01:33:55,15.5
4182,2019-06-22 01:48:55,15.4
4183,2019-06-22 02:03:55,15.4
4184,2019-06-22 02:18:55,15.5
4185,2019-06-22 02:33:55,15.5
4186,2019-06-22 02:48:55,15.6
4187,2019-06-22 03:03:55,15.6
4188,2019-06-22 03:18:55,15.6
4189,2019-06-22 03:33:55,15.6
4190,2019-06-22 03:48:55,15.5
4191,2019-06-22 04:03:55,15.4
4192,2019-06-22 04:18:55,15.4
4193,2019-06-22 04:33:55,15.4
4194,2019-06-22 04:48:55,15.4
4195,2019-06-22 05:03:55,15.5
4196,2019-06-22 05:18:55,15.5
4197,2019-06-22 05:33:55,15.5
4198,2019-06-22 05:48:55,15.5
4199,2019-06-22 06:03:55,15.6
4200,2019-06-22 06:18:55,15.6
4201,2019-06-22 06:33:55,15.6
4202,2019-06-22 06:48:55,15.5
4203,2019-06-22 07:03:55,15.4
4204,2019-06-22 07:18:55,15.2
4205,2019-06-22 07:33:55,14.9
4206,2019-06-22 07:48:55,14.7
4207,2019-06-22 08:03:55,14.6
4208,2019-06-22 08:18:55,14.6
4209,2019-06-22 08:33:55,14.7
4210,2019-06-22 08:48:55,14.9
4211,2019-06-22 09:03:55,15.2
4212,2019-06-22 09:18:55,15.7
4213,2019-06-22 09:33:55,16.7
4214,2019-06-22 09:48:55,18.3
4215,2019-06-22 10:03:55,18.3
4216,2019-06-22 10:18:55,17.9
4217,2019-06-22 10:33:55,18
4218,2019-06-22 10:48:55,18.3
4219,2019-06-22 11:03:55,18.8
4220,2019-06-22 11:18:55,20.8
4221,2019-06-22 11:33:55,22.6
4222,2019-06-22 11:48:55,23.2
4223,2019-06-22 12:03:55,21.4
4224,2019-06-22 12:18:55,20.6
4225,2019-06-22 12:33:55,22.1
4226,2019-06-22 12:48:55,21.5
4227,2019-06-22 13:03:55,21.2
4228,2019-06-22 13:18:55,20.9
4229,2019-06-22 13:33:55,20.9
4230,2019-06-22 13:48:55,20.9
4231,2019-06-22 14:03:55,21
4232,2019-06-22 14:18:55,21.2
4233,2019-06-22 14:33:55,22.6
4234,2019-06-22 14:48:55,22.9
4235,2019-06-22 15:03:55,22.9
4236,2019-06-22 15:18:55,22.1
4237,2019-06-22 15:33:55,22.4
4238,2019-06-22 15:48:55,21.5
4239,2019-06-22 16:03:55,21.3
4240,2019-06-22 16:18:55,21.7
4241,2019-06-22 16:33:55,21.6
4242,2019-06-22 16:48:55,21.4
4243,2019-06-22 17:03:55,20.7
4244,2019-06-22 17:18:55,20.2
4245,2019-06-22 17:33:55,19.2
4246,2019-06-22 17:48:55,18.5
4247,2019-06-22 18:03:55,18.1
4248,2019-06-22 18:18:55,17.9
4249,2019-06-22 18:33:55,17.5
4250,2019-06-22 18:48:55,17.3
4251,2019-06-22 19:03:55,17.2
4252,2019-06-22 19:18:55,17
4253,2019-06-22 19:33:55,16.9
4254,2019-06-22 19:48:55,16.9
4255,2019-06-22 20:03:55,16.9
4256,2019-06-22 20:18:55,16.9
4257,2019-06-22 20:33:55,16.9
4258,2019-06-22 20:48:55,16.8
4259,2019-06-22 21:03:55,16.8
4260,2019-06-22 21:18:55,16.8
4261,2019-06-22 21:33:55,16.7
4262,2019-06-22 21:48:55,16.6
4263,2019-06-22 22:03:55,16.5
4264,2019-06-22 22:18:55,16.5
4265,2019-06-22 22:33:55,16.4
4266,2019-06-22 22:48:55,16.4
4267,2019-06-22 23:03:55,16.5
4268,2019-06-22 23:18:55,16.5
4269,2019-06-22 23:33:55,16.3
4270,2019-06-22 23:48:55,16.2
4271,2019-06-23 00:03:55,16.2
4272,2019-06-23 00:18:55,16.4
4273,2019-06-23 00:33:55,16.6
4274,2019-06-23 00:48:55,16.6
4275,2019-06-23 01:03:55,16.3
4276,2019-06-23 01:18:55,16.3
4277,2019-06-23 01:33:55,16.4
4278,2019-06-23 01:48:55,16.6
4279,2019-06-23 02:03:55,16.7
4280,2019-06-23 02:18:55,16.9
4281,2019-06-23 02:33:55,17
4282,2019-06-23 02:48:55,17.2
4283,2019-06-23 03:03:55,17.2
4284,2019-06-23 03:18:55,17.3
4285,2019-06-23 03:33:55,17.5
4286,2019-06-23 03:48:55,17.6
4287,2019-06-23 04:03:55,17.6
4288,2019-06-23 04:18:55,17.6
4289,2019-06-23 04:33:55,17.6
4290,2019-06-23 04:48:55,17.7
4291,2019-06-23 05:03:55,17.7
4292,2019-06-23 05:18:55,17.9
4293,2019-06-23 05:33:55,18
4294,2019-06-23 05:48:55,18.2
4295,2019-06-23 06:03:55,18.2
4296,2019-06-23 06:18:55,18.1
4297,2019-06-23 06:33:55,18
4298,2019-06-23 06:48:55,17.9
4299,2019-06-23 07:03:55,17.8
4300,2019-06-23 07:18:55,17.6
4301,2019-06-23 07:33:55,17.6
4302,2019-06-23 07:48:55,17.6
4303,2019-06-23 08:03:55,17.4
4304,2019-06-23 08:18:55,17.3
4305,2019-06-23 08:33:55,17.2
4306,2019-06-23 08:48:55,17.2
4307,2019-06-23 09:03:55,17.4
4308,2019-06-23 09:18:55,17.8
4309,2019-06-23 09:33:55,19
4310,2019-06-23 09:48:55,19.4
4311,2019-06-23 10:03:55,19.6
4312,2019-06-23 10:18:55,19.9
4313,2019-06-23 10:33:55,19.8
4314,2019-06-23 10:48:55,20.2
4315,2019-06-23 11:03:55,20.5
4316,2019-06-23 11:18:55,21
4317,2019-06-23 11:33:55,20.8
4318,2019-06-23 11:48:55,20.9
4319,2019-06-23 12:03:55,26.5
4320,2019-06-23 12:18:55,31.3
4321,2019-06-23 12:33:55,31.5
4322,2019-06-23 12:48:55,31.9
4323,2019-06-23 13:03:55,31.9
4324,2019-06-23 13:18:55,32
4325,2019-06-23 13:33:55,31.9
4326,2019-06-23 13:48:55,31.6
4327,2019-06-23 14:03:55,28.8
4328,2019-06-23 14:18:55,24.4
4329,2019-06-23 14:33:55,22.9
4330,2019-06-23 14:48:55,22
4331,2019-06-23 15:03:55,21.5
4332,2019-06-23 15:18:55,20.8
4333,2019-06-23 15:33:55,21.6
4334,2019-06-23 15:48:55,27.4
4335,2019-06-23 16:03:55,27.7
4336,2019-06-23 16:18:55,28
4337,2019-06-23 16:33:55,28
4338,2019-06-23 16:48:55,28.1
4339,2019-06-23 17:03:55,28.4
4340,2019-06-23 17:18:55,28.9
4341,2019-06-23 17:33:55,28.9
4342,2019-06-23 17:48:55,28.8
4343,2019-06-23 18:03:55,28.5
4344,2019-06-23 18:18:55,28.4
4345,2019-06-23 18:33:55,28.3
4346,2019-06-23 18:48:55,28.4
4347,2019-06-23 19:03:55,27.8
4348,2019-06-23 19:18:55,25.9
4349,2019-06-23 19:33:55,26
4350,2019-06-23 19:48:55,26.9
4351,2019-06-23 20:03:55,27.1
4352,2019-06-23 20:18:55,27
4353,2019-06-23 20:33:55,26.8
4354,2019-06-23 20:48:55,26.6
4355,2019-06-23 21:03:55,26.7
4356,2019-06-23 21:18:55,26.5
4357,2019-06-23 21:33:55,26.2
4358,2019-06-23 21:48:55,26.2
4359,2019-06-23 22:03:55,26.2
4360,2019-06-23 22:18:55,25.8
4361,2019-06-23 22:33:55,25.4
4362,2019-06-23 22:48:55,25.4
4363,2019-06-23 23:03:55,25.7
4364,2019-06-23 23:18:55,25.8
4365,2019-06-23 23:33:55,25.6
4366,2019-06-23 23:48:55,25.8
4367,2019-06-24 00:03:55,25.4
4368,2019-06-24 00:18:55,25.1
4369,2019-06-24 00:33:55,24.6
4370,2019-06-24 00:48:55,24.5
4371,2019-06-24 01:03:55,23.9
4372,2019-06-24 01:18:55,24
4373,2019-06-24 01:33:55,24
4374,2019-06-24 01:48:55,23.7
4375,2019-06-24 02:03:55,23.6
4376,2019-06-24 02:18:55,23.5
4377,2019-06-24 02:33:55,23.3
4378,2019-06-24 02:48:55,23.2
4379,2019-06-24 03:03:55,22.8
4380,2019-06-24 03:18:55,22.5
4381,2019-06-24 03:33:55,22.4
4382,2019-06-24 03:48:55,22.2
4383,2019-06-24 04:03:55,22.2
4384,2019-06-24 04:18:55,22.2
4385,2019-06-24 04:33:55,22.1
4386,2019-06-24 04:48:55,22.1
4387,2019-06-24 05:03:55,21.9
4388,2019-06-24 05:18:55,21.8
4389,2019-06-24 05:33:55,21.9
4390,2019-06-24 05:48:55,22
4391,2019-06-24 06:03:55,22
4392,2019-06-24 06:18:55,21.8
4393,2019-06-24 06:33:55,21.7
4394,2019-06-24 06:48:55,21.8
4395,2019-06-24 07:03:55,22
4396,2019-06-24 07:18:55,21.7
4397,2019-06-24 07:33:55,21.7
4398,2019-06-24 07:48:55,21.7
4399,2019-06-24 08:03:55,21.9
4400,2019-06-24 08:18:55,22
4401,2019-06-24 08:33:55,22.3
4402,2019-06-24 08:48:55,22.7
4403,2019-06-24 09:03:55,22.9
4404,2019-06-24 09:18:55,23.3
4405,2019-06-24 09:33:55,23.7
4406,2019-06-24 09:48:55,24.2
4407,2019-06-24 10:03:55,24.5
4408,2019-06-24 10:18:55,24.9
4409,2019-06-24 10:33:55,25.4
4410,2019-06-24 10:48:55,25.3
4411,2019-06-24 11:03:55,25.3
4412,2019-06-24 11:18:55,25.4
4413,2019-06-24 11:33:55,25.4
4414,2019-06-24 11:48:55,25.6
4415,2019-06-24 12:03:55,23.2
4416,2019-06-24 12:18:55,18.2
4417,2019-06-24 12:33:55,16.2
4418,2019-06-24 12:48:55,15.4
4419,2019-06-24 13:03:55,15.2
4420,2019-06-24 13:18:55,15.3
4421,2019-06-24 13:33:55,15.4
4422,2019-06-24 13:48:55,15.6
4423,2019-06-24 14:03:55,15.5
4424,2019-06-24 14:18:55,15.6
4425,2019-06-24 14:33:55,15.9
4426,2019-06-24 14:48:55,15.8
4427,2019-06-24 15:03:55,15.7
4428,2019-06-24 15:18:55,15.8
4429,2019-06-24 15:33:55,16
4430,2019-06-24 15:48:55,16
4431,2019-06-24 16:03:55,15.9
4432,2019-06-24 16:18:55,15.7
4433,2019-06-24 16:33:55,15.6
4434,2019-06-24 16:48:55,15.6
4435,2019-06-24 17:03:55,15.6
4436,2019-06-24 17:18:55,15.6
4437,2019-06-24 17:33:55,15.5
4438,2019-06-24 17:48:55,15.5
4439,2019-06-24 18:03:55,15.5
4440,2019-06-24 18:18:55,15.5
4441,2019-06-24 18:33:55,15.5
4442,2019-06-24 18:48:55,15.5
4443,2019-06-24 19:03:55,15.6
4444,2019-06-24 19:18:55,15.7
4445,2019-06-24 19:33:55,15.8
4446,2019-06-24 19:48:55,15.9
4447,2019-06-24 20:03:55,16
4448,2019-06-24 20:18:55,16
4449,2019-06-24 20:33:55,16
4450,2019-06-24 20:48:55,16
4451,2019-06-24 21:03:55,16
4452,2019-06-24 21:18:55,16
4453,2019-06-24 21:33:55,16
4454,2019-06-24 21:48:55,16
4455,2019-06-24 22:03:55,16
4456,2019-06-24 22:18:55,15.9
4457,2019-06-24 22:33:55,15.8
4458,2019-06-24 22:48:55,15.6
4459,2019-06-24 23:03:55,15.5
4460,2019-06-24 23:18:55,15.2
4461,2019-06-24 23:33:55,14.4
4462,2019-06-24 23:48:55,14.1
4463,2019-06-25 00:03:55,13.9
4464,2019-06-25 00:18:55,13.6
4465,2019-06-25 00:33:55,13.3
4466,2019-06-25 00:48:55,13
4467,2019-06-25 01:03:55,12.8
4468,2019-06-25 01:18:55,12.6
4469,2019-06-25 01:33:55,12.4
4470,2019-06-25 01:48:55,12.2
4471,2019-06-25 02:03:55,12.2
4472,2019-06-25 02:18:55,12.2
4473,2019-06-25 02:33:55,12.1
4474,2019-06-25 02:48:55,12
4475,2019-06-25 03:03:55,12
4476,2019-06-25 03:18:55,12
4477,2019-06-25 03:33:55,12.1
4478,2019-06-25 03:48:55,12.2
4479,2019-06-25 04:03:55,12.3
4480,2019-06-25 04:18:55,12.2
4481,2019-06-25 04:33:55,11.2
4482,2019-06-25 04:48:55,10
4483,2019-06-25 05:03:55,10.2
4484,2019-06-25 05:18:55,10.3
4485,2019-06-25 05:33:55,10.4
4486,2019-06-25 05:48:55,10.4
4487,2019-06-25 06:03:55,10.4
4488,2019-06-25 06:18:55,10.2
4489,2019-06-25 06:33:55,10.1
4490,2019-06-25 06:48:55,10
4491,2019-06-25 07:03:55,9.8
4492,2019-06-25 07:18:55,9.7
4493,2019-06-25 07:33:55,9.5
4494,2019-06-25 07:48:55,9.2
4495,2019-06-25 08:03:55,8.9
4496,2019-06-25 08:18:55,8.7
4497,2019-06-25 08:33:55,8.5
4498,2019-06-25 08:48:55,8.3
4499,2019-06-25 09:03:55,8.2
4500,2019-06-25 09:18:55,8.2
4501,2019-06-25 09:33:55,8.4
4502,2019-06-25 09:48:55,8.5
4503,2019-06-25 10:03:55,8.2
4504,2019-06-25 10:18:55,8.7
4505,2019-06-25 10:33:55,10.2
4506,2019-06-25 10:48:55,11
4507,2019-06-25 11:03:55,11.2
4508,2019-06-25 11:18:55,12.1
4509,2019-06-25 11:33:55,12.2
4510,2019-06-25 11:48:55,12.2
4511,2019-06-25 12:03:55,12.7
4512,2019-06-25 12:18:55,12.8
4513,2019-06-25 12:33:55,12.7
4514,2019-06-25 12:48:55,12.9
4515,2019-06-25 13:03:55,13.2
4516,2019-06-25 13:18:55,13
4517,2019-06-25 13:33:55,13.3
4518,2019-06-25 13:48:55,13
4519,2019-06-25 14:03:55,13.3
4520,2019-06-25 14:18:55,13
4521,2019-06-25 14:33:55,13.2
4522,2019-06-25 14:48:55,13.3
4523,2019-06-25 15:03:55,13.1
4524,2019-06-25 15:18:55,13.1
4525,2019-06-25 15:33:55,13.4
4526,2019-06-25 15:48:55,13.5
4527,2019-06-25 16:03:55,13.8
4528,2019-06-25 16:18:55,13.7
4529,2019-06-25 16:33:55,13.3
4530,2019-06-25 16:48:55,13.1
4531,2019-06-25 17:03:55,12.7
4532,2019-06-25 17:18:55,12.2
4533,2019-06-25 17:33:55,11.9
4534,2019-06-25 17:48:55,11.1
4535,2019-06-25 18:03:55,10.4
4536,2019-06-25 18:18:55,10.1
4537,2019-06-25 18:33:55,9.8
4538,2019-06-25 18:48:55,9.5
4539,2019-06-25 19:03:55,9.5
4540,2019-06-25 19:18:55,9.4
4541,2019-06-25 19:33:55,9.2
4542,2019-06-25 19:48:55,9.1
4543,2019-06-25 20:03:55,8.9
4544,2019-06-25 20:18:55,8.8
4545,2019-06-25 20:33:55,8.7
4546,2019-06-25 20:48:55,8.5
4547,2019-06-25 21:03:55,8.3
4548,2019-06-25 21:18:55,8.1
4549,2019-06-25 21:33:55,7.9
4550,2019-06-25 21:48:55,7.8
4551,2019-06-25 22:03:55,7.6
4552,2019-06-25 22:18:55,7.5
4553,2019-06-25 22:33:55,7.4
4554,2019-06-25 22:48:55,7.3
4555,2019-06-25 23:03:55,7.1
4556,2019-06-25 23:18:55,6.9
4557,2019-06-25 23:33:55,6.6
4558,2019-06-25 23:48:55,6.4
4559,2019-06-26 00:03:55,6.3
4560,2019-06-26 00:18:55,6.1
4561,2019-06-26 00:33:55,6
4562,2019-06-26 00:48:55,5.9
4563,2019-06-26 01:03:55,5.7
4564,2019-06-26 01:18:55,5.5
4565,2019-06-26 01:33:55,5.4
